HEROP_ID,OdMortRtAv
050US01001,11.58
050US01003,16.96
050US01005,11.54
050US01007,20.64
050US01009,21.96
050US01011,10.86
050US01013,13.9
050US01015,17.74
050US01017,13.2
050US01019,20.24
050US01021,17.76
050US01023,15.56
050US01025,14.38
050US01027,15.54
050US01029,20.54
050US01031,10.82
050US01033,12
050US01035,18.5
050US01037,14.34
050US01039,14.38
050US01041,11.96
050US01043,20.02
050US01045,11.76
050US01047,9.9
050US01049,24.18
050US01051,10.38
050US01053,26.56
050US01055,21.76
050US01057,20.56
050US01059,18.24
050US01061,15.34
050US01063,13.54
050US01065,15.28
050US01067,13.36
050US01069,13.6
050US01071,14.28
050US01073,27.68
050US01075,15.46
050US01077,14.16
050US01079,16.3
050US01081,9.22
050US01083,11.74
050US01085,11.06
050US01087,9.92
050US01089,15.76
050US01091,13.76
050US01093,14.3
050US01095,17.7
050US01097,15.16
050US01099,14.54
050US01101,7.96
050US01103,17.5
050US01105,13.94
050US01107,15.92
050US01109,10.46
050US01111,16.82
050US01113,14.48
050US01115,25.54
050US01117,18.3
050US01119,13.92
050US01121,14.4
050US01123,13.6
050US01125,15.88
050US01127,26.82
050US01129,15.76
050US01131,12.38
050US01133,18.44
050US02013,20.92
050US02016,18.54
050US02020,20.48
050US02050,20.48
050US02060,22.6
050US02063,
050US02066,
050US02068,19.3
050US02070,22.28
050US02090,16.46
050US02100,18.26
050US02105,
050US02110,20.22
050US02122,23.4
050US02130,21.32
050US02150,20.54
050US02158,12.3
050US02164,21.44
050US02170,20.16
050US02180,20.38
050US02185,17.3
050US02188,17.1
050US02195,
050US02198,
050US02220,21.34
050US02230,
050US02240,17.96
050US02275,
050US02282,19.74
050US02290,19.68
050US04001,15.3
050US04003,21.28
050US04005,19.18
050US04007,30
050US04009,22.74
050US04011,27.64
050US04012,23.06
050US04013,21.98
050US04015,25.76
050US04017,21.02
050US04019,25.14
050US04021,16.06
050US04023,15.32
050US04025,28.82
050US04027,16.88
050US05001,15.26
050US05003,17.44
050US05005,21.74
050US05007,14.3
050US05009,17.8
050US05011,14.7
050US05013,15.22
050US05015,20.72
050US05017,15.12
050US05019,14.78
050US05021,22.42
050US05023,16.22
050US05025,14.96
050US05027,14.98
050US05029,17.48
050US05031,14.26
050US05033,20.8
050US05035,15.98
050US05037,17.62
050US05039,14.22
050US05041,14.96
050US05043,16.2
050US05045,14.52
050US05047,21.7
050US05049,25.02
050US05051,26.32
050US05053,15.46
050US05055,17.98
050US05057,15.64
050US05059,16.36
050US05061,18.8
050US05063,16.2
050US05065,23.68
050US05067,17.84
050US05069,13.88
050US05071,18.34
050US05073,13.94
050US05075,18.66
050US05077,15.72
050US05079,17.18
050US05081,16.82
050US05083,21.34
050US05085,16.58
050US05087,17.68
050US05089,20.94
050US05091,11.76
050US05093,16.54
050US05095,14.72
050US05097,21.72
050US05099,14.72
050US05101,20.52
050US05103,13.86
050US05105,18.24
050US05107,14.94
