"name1","type_facility","longitude","latitude"
"Colorado Family Counseling Inc","SU",-107.2195916,39.4088141
"Colorado Family Counseling Inc","SU",-106.5934097,39.6457137
"Summit Womens Recovery","SU",-106.0449128,39.6278035
"Colorado Family Counseling Inc","SU",-107.3254312,39.5459702
"Colorado Family Counseling Inc","SU",-107.7835527,39.5314938
"Crossroads Turning Points Inc","SU",-106.1480842,37.5791696
"Red Rock Recovery Center","SU",-105.2336054,39.5494842
"Recovery Village at Palmer Lake","SU",-104.8972303,39.1124692
"Achieve Whole Recovery","SU",-104.8460195,38.8983988
"Monument Counseling Center","SU",-104.869588,39.0921094
"Insight Services PLLC","SU",-104.8203348,38.8439716
"Cedar Springs Hospital","SU",-104.816743,38.8021037
"Sandstone Care Detox Center","SU",-104.7897068,38.9107505
"Sandstone Care","SU",-104.7871083,38.9143152
"Crossroads Turning Points Inc","SU",-104.7810739,38.7746041
"Colorado Treatment Services LLC","SU",-104.7819768,38.9054173
"A Turning Point of Colorado Springs","SU",-104.7758523,38.9054283
"Gallus Detox Denver LLC","SU",-105.0956799,39.6079818
"Ascension Csl and Transformation LLC","SU",-105.869386,37.4684478
"Golden Peak Recovery","SU",-105.0871837,39.6745321
"University of Colorado Denver/ARTS","SU",-105.039562,39.6414416
"Crossroads Turning Points Inc","SU",-105.8696269,37.4484074
"New Paradigm Counseling LLC","SU",-104.8544394,39.4079923
"New Beginnings Recovery Center","SU",-104.9863353,39.6099755
"Red Rock Recovery Center","SU",-105.0963413,39.7386828
"Parker Froyd and Associates","SU",-105.096812,39.7398518
"Spanish Clinic LLC","SU",-105.0420244,39.7044327
"Magnolia Medical Group","SU",-105.111061,39.7864025
"Special Services Clinic Inc","SU",-105.0324770563,39.7213510238973
"IDEA Forum Inc","SU",-105.0154792,39.7109131
"CuraWest","SU",-104.9739185,39.6701977
"A New Outlook Recovery Services","SU",-104.882317,39.5734359
"Valley Hope of Denver","SU",-104.8815384,39.5877027
"Bonnie Mucklow","SU",-104.9070386,39.623255
"Sobriety House Inc","SU",-104.9895599,39.7187443
"The Raleigh House","SU",-104.9045177,39.6369569
"Denver Health Community Detox","SU",-104.9920991,39.7347769
"Creative Treatment Options","SU",-105.0798992,39.8168731
"Guardian Virtual","SU",-104.9380884,39.6809215
"Denver Womens Recovery","SU",-104.9423989,39.6898128
"Womens Recovery Center/Circle Program","SU",-108.4578388,39.0783229
"Cornerstone Program","SU",-104.8581402,39.600112
"Step Denver","SU",-104.9923274,39.7535291
"Footprints to Recovery","SU",-104.850942,39.596583
"Magnolia Medical Group","SU",-104.9531382,39.7404213
"Comm Alc/Drug Rehab and Education Ctr","SU",-104.9677089,39.7636761
"Valley Hope of Parker","SU",-104.7533081,39.5173792
"Crossroads Turning Points Inc","SU",-104.6352093,38.3069951
"Crossroads Turning Points Inc","SU",-104.6345251,38.3071551
"Sandstone Care","SU",-105.1090194,39.9219855
"Set Apart Treatment Inc","SU",-105.0150606,39.848548
"Avenues Recovery Center at Denver","SU",-104.8302706,39.6831841
"Mental Health Partners","SU",-105.2338696,40.0330296
"Elevate Healthcare LLC","SU",-104.6095076,38.2787057
"Spanish Clinic LLC","SU",-104.8750613,39.7384235
"State of Grace","SU",-104.6082924,38.2740252
"Crossroads Turning Points Inc","SU",-104.6009858,38.2794098
"Crossroads Turning Points Inc","SU",-104.5918851,38.2931907
"Serenity at Stout Street Foundation","SU",-104.9046607,39.7853788
"Stout Street Foundation","SU",-104.9050769,39.7862398
"IDEA Forum Inc","SU",-104.8463991,39.7275458
"IDEA Forum Inc","SU",-104.9785985,39.8614487
"Dont Look Back Center","SU",-104.8233106,39.7232059
"My Healing Space Counseling PLLC","SU",-104.8233106,39.7232059
"Reliant Services PLLC","SU",-104.9960884,39.8990233
"La Trenza Counseling Inc","SU",-104.9142697,39.8270373
"Spanish Clinic LLC","SU",-104.843365,39.772209
"NorthStar Transitions","SU",-105.1985461,40.0694829
"Redpoint Center","SU",-105.1240593,40.142765
"Journey Counseling Center LLC","SU",-105.1220361,40.1454029
"Harmony Recovery","SU",-105.5784898,40.3970108
"Raleigh House of Hope","SU",-104.5704325,39.7096653
"BayMark Health Servs of Colorado Inc","SU",-104.8227075,39.9866561
"IDEA Forum Inc","SU",-104.8059684,39.9871374
"Crossroads Turning Points Inc","SU",-104.7791328,37.6234033
"Northpoint Colorado","SU",-105.0105776,40.4290917
"Redpoint North","SU",-105.0765196,40.5475299
"Narconon Colorado","SU",-105.0695552,40.6039573
"Valle Wide Health Systems","SU",-103.754419,38.2149031
"Crossroads Turning Points Inc","SU",-104.5105388,37.167362
"Presbyterian Medical Services","SU",-108.2333902,36.7201142
"Cenikor Foundation","SU",-108.229275,36.7150679
"Rio Grande ATP Inc","SU",-105.5908116,36.3806744
"San Juan Counseling Center","SU",-109.4808973,37.6149678
"Navajo Regional","SU",-108.691306,36.803356
"Hoy Recovery Program Inc","SU",-105.9677166,36.1643684
"Utah Navajo Health System","SU",-109.3035744,37.2597992
"Volunteers of America Northern Rockies","SU",-104.8135044,41.1436532
"Volunteers of America Northern Rockies","SU",-104.8135044,41.1436532
"RESADA Outpatient","SU",-103.2190559,38.0713315
"Region Six Alcohol and Drug Abuse","SU",-103.2127788,38.0754957
"Cheyenne VA Healthcare System","SU",-104.7861887,41.1481373
"Santa Clara Pueblo Behavioral Health","SU",-106.08665,35.9729236
"Northeastern Counseling Center","SU",-109.5495101,40.4486472
"Los Alamos Family Council Inc","SU",-106.2986475,35.8817553
"Northeastern Counseling Center","SU",-109.9968978,40.2879943
"Santa Fe Psychotherapy and Consulting","SU",-105.9700369,35.6561986
"Crossroads Turning Points Inc","SU",-102.6157701,38.0540206
"Santa Fe Recovery Center","SU",-106.0199814,35.6377616
"Santa Fe Psychotherapy and Consulting","SU",-106.0148896,35.6332529
"Northeastern Counseling Center","SU",-110.4006785,40.1610926
"Rio Grande ATP Inc","SU",-105.2254688,35.6166105
"Division of Behavioral and","SU",-108.1575653,35.6762216
"Southwest Counseling Service","SU",-109.2635457,41.578397
"Desert Mountain Healing IOPOP LLC","SU",-106.669429,35.2432792
"Karuna Counseling","SU",-102.9738096,41.1446982
"Susans Legacy","SU",-106.5169269,35.1425073
"Turning Point Recovery Center Inc","SU",-106.5404077,35.1309477
"Turning Point Recovery Center Inc","SU",-106.5788421,35.129583
"Fort Defiance Outpatient Treatment Ctr","SU",-109.073822,35.7407875
"Turning Point Detox","SU",-106.531502,35.1117839
"Central New Mexico Treatment Center","SU",-106.6520827,35.103248
"Turning Point Detox","SU",-106.5805861,35.0986519
"Albuquerque Behavioral Health","SU",-106.5560593,35.0913037
"Duke City Recovery Toolbox LLC","SU",-106.6462709,35.0921409
"Na Nizhoozhi Center Inc","SU",-108.7074184,35.5244193
"Dragonfly Counseling Associates","SU",-106.5589452,35.0892946
"State of the Heart Recovery Inc","SU",-106.5754642,35.0779052
"MedMark Treatment Centers","SU",-106.6757115,35.0667937
"Division of Behavioral and MH Servs","SU",-108.7425551,35.5089885
"NM Department of Health","SU",-106.5813804,35.057986
"Community Action Partnership of","SU",-103.6602409,41.8437621
"Healing Addiction in Our Community","SU",-106.7227728,35.0221291
"Pueblo of Acoma Behavioral Hlth Servs","SU",-107.6197252,35.0413334
"Central Utah Counseling Center","SU",-111.5963958,39.3616751
"Central New Mexico Counseling Service","SU",-106.7313472,34.8010517
"Wyoming Recovery","SU",-106.3064851,42.8481211
"Maple Mountain Recovery","SU",-111.570053,40.1208095
"Beecon Recovery","SU",-111.4129632,40.5096728
"Acqua Recovery","SU",-111.4129632,40.5096728
"Wasatch Crest Treatment Services","SU",-111.4187799,40.5525444
"Acqua Recovery","SU",-111.452974,40.5131179
"Acqua Recovery","SU",-111.453287,40.514339
"House of Hope","SU",-111.6266232,40.2100392
"Wasatch BH Special Servs District","SU",-111.6574434,40.1510605
"Imperial Healing Estate","SU",-111.6344453,40.2899112
"New Roads Behavioral Health","SU",-111.6681793,40.2134506
"New Roads Behavioral Health","SU",-111.6681793,40.2134506
"Central Utah Counseling Center","SU",-111.8354792,39.7222433
"Steps Recovery Center","SU",-111.7487055,40.0287255
"Connections Counseling Services","SU",-111.6774996,40.2726829
"Central Utah Counseling Center","SU",-111.969518,38.838207
"Cirque Lodge Studio","SU",-111.6661657,40.3103888
"Steps Recovery Center","SU",-111.6894962,40.2805261
"JWalker Intensive Outpatient","SU",-111.6838437,40.3110805
"Wasatch BH Special Servs District","SU",-111.6951926,40.2925275
"Pathways Wholeness Center","SU",-111.9873584,38.7635064
"Mental Health Resources Inc","SU",-103.7222545,35.1697682
"True North Recovery and Wellness Ctr","SU",-111.698627,40.30168
"Judicial Supervision Services LLC","SU",-111.7068928,40.3231599
"Papilion Integrated Recovery Center","SU",-111.7100746,40.3261212
"Reflections Outpatient","SU",-111.7173209,40.3377696
"Wasatch Crest Womens Residential","SU",-111.5144186,40.7227285
"White Sage Recovery","SU",-111.7486802,40.3650286
"Willow Tree Recovery","SU",-111.7591312,40.3618954
"Human Services Inc","SU",-102.875769693788,42.1193757999754
"FourPoints Health","SU",-112.0851998,38.7619384
"Ascend Recovery","SU",-111.802289,40.350377
"Alpine Recovery Lodge","SU",-111.7603016,40.4461038
"PATH Wellness Solutions","SU",-108.7341286,42.8334141
"Renaissance Ranch","SU",-111.7750018,40.4610538
"Ascend Recovery","SU",-111.8086677,40.4065579
"Wasatch Recovery","SU",-111.798635,40.598453
"Volunteers of America","SU",-108.393274,43.022111
"Sober Living Willowcreek","SU",-111.8307346,40.6024956
"Pinnacle Recovery","SU",-111.8126177,40.6382356
"New Roads Behavioral Health","SU",-111.8208599,40.623696
"Journey Treatment Center","SU",-111.8336396,40.6044402
"Sober Living Properties","SU",-111.8821796,40.5199823
"EVNSQ LLC","SU",-111.8348033,40.6566106
"Papilion Integrated Recovery Center","SU",-111.8506314,40.6489133
"Next Level Recovery","SU",-111.8655397,40.6281764
"Sober Living Properties","SU",-111.8794137,40.6060888
"Phoenix Recovery Center LLC","SU",-111.9042908,40.5584109
"Utah Addiction Centers","SU",-111.9940181,40.3766685
"Pathways Real Life Recovery","SU",-111.8981088,40.576857
"Clearview Counseling and","SU",-111.865947,40.641264
"Sober Living Properties","SU",-111.8778477,40.6268602
"Sober Living Properties","SU",-111.8725191,40.637099
"Pinnacle Recovery","SU",-111.9013403,40.5842994
"Liberty Addiction Recovery Centers LLC","SU",-111.9588165,40.4739286
"BRC Outpatient LLC","SU",-111.8642121,40.6627165
"Utah Harm Reduction Coalition","SU",-111.8881222,40.6212515
"South Point Counseling Services","SU",-111.9244194,40.5618645
"Redwood Recovery","SU",-111.9391518,40.5337973
"Sober Living Properties","SU",-111.8688291,40.6679918
"Central Utah Counseling Center","SU",-112.32344,38.970724
"Bloc Outpatient","SU",-111.8710256,40.6742854
"Renaissance Ranch","SU",-111.9626855,40.4990055
"Sober Living Properties","SU",-111.8618446,40.6956852
"Connections Counseling Services","SU",-111.8872739,40.649965
"City on a Hill Inc","SU",-100.8732389,37.966231
"CH MH Services LLC","SU",-111.8705872,40.6852552
"Mountain Valley Recovery","SU",-112.3283506,39.1129364
"Salt Lake Behavioral Health","SU",-111.8727416,40.6876999
"Utah Partners for Health","SU",-111.9287277,40.5858951
"Steps Recovery Center","SU",-111.8814284,40.6745817
"Odyssey House Inc","SU",-111.881047,40.6854889
"Jordan West Family Counseling","SU",-111.9383059,40.5828863
"Helping Hand Association","SU",-111.9610117,40.5438507
"Salt Lake County Youth Services","SU",-111.9378218,40.5915528
"7th Street","SU",-111.8706922,40.7165915
"Recovery Ways","SU",-111.8992135,40.666477
"Judicial Supervision Services LLC","SU",-111.9018992,40.6618791
"Helping Hand Association","SU",-111.9425844,40.5872535
"Clinical Consultants LLC","SU",-111.93726,40.612959
"Helping Hand Association","SU",-111.8942486,40.6936535
"Salt Lake County Youth Services","SU",-111.8958149,40.6917841
"Salt Lake City Comprehensive Treatment","SU",-111.8781247,40.7257252
